type chaussure,prix,adresse,image_lien
Chaussures enfants,7000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg
Baskets enfant,3500.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5080430_uploaded_image1_1733555952.jpg
Chaussures crops bébé,5000.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3106484_uploaded_image1_1620567535.jpg
Chaussures enfant,10000.0,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_2749342_uploaded_image1_1604925569.jpg
Chaussures fille,2000.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3543253_uploaded_image1_1643397434.jpg
Chaussures enfant,15000.0,"Hann Bel-Air, Hann / Bel Air (Dakar), Sénégal",https://images.coinafrique.com/thumb_2747212_uploaded_image1_1604838947.jpg
Chaussures enfant,15000.0,"Kolda, Sénégal",https://images.coinafrique.com/thumb_2749776_uploaded_image1_1604935997.jpg
Chaussures de sport enfants,2000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_2752149_uploaded_image1_1605019568.jpg
Claquettes enfant,2500.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2762753_uploaded_image1_1605397699.jpg
Chaussures enfant,10000.0,"Ziguinchor, Sénégal",https://images.coinafrique.com/thumb_3047906_uploaded_image1_1617901111.jpg
Claquettes enfants,6000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_2795343_uploaded_image1_1606666445.jpg
Chaussures garçons,3000.0,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_2795704_uploaded_image1_1606681411.jpg
Baskets Nike enfants,15000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4930603_uploaded_image1_1725607998.jpg
Chaussures enfants,15000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4676405_uploaded_image1_1712262646.jpg
Chaussures garçons,10000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2831294_uploaded_image1_1607984493.jpg
Baskets Nike pour enfants,10000.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2837971_uploaded_image1_1608232681.jpg
Chaussures enfants,6000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3102441_uploaded_image1_1620372742.jpg
Baskets enfant,12000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3848408_uploaded_image1_1661541004.jpg
Chaussures enfant,28000.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4367839_uploaded_image2_1694130362.jpeg
Baskets Nike,14000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5568313_uploaded_image1_1760122555.jpg
Baskets Adidas Yeezy,10000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3039797_uploaded_image1_1617561525.jpg
Chaussures fillette,10000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3039898_uploaded_image1_1617564756.jpg
Chaussures enfants,5000.0,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5584411_uploaded_image1_1761044461.jpg
Chaussures enfant,50000.0,"Fann-Point E-Amitié, Dakar, Sénégal",https://images.coinafrique.com/thumb_3100228_uploaded_image1_1620285689.jpg
Chaussures enfants,10000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3672156_uploaded_image1_1651092639.jpg
Babouches enfant,7000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3231496_uploaded_image1_1626390253.jpg
Chaussures orthopédiques enfant,4500.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3429468_uploaded_image1_1636466917.jpg
Baskets enfant,14000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3398164_uploaded_image1_1634895995.jpg
Sandales fillettes,1500.0,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3401227_uploaded_image1_1635079924.jpg
Chaussures enfants,5000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5545268_uploaded_image1_1758910584.jpg
Sandales petites filles,2000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3415129_uploaded_image1_1635810651.jpg
Ballerines enfant,10000.0,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_3468451_uploaded_image1_1638628031.jpg
Sandales pour enfants,1000.0,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3481315_uploaded_image1_1639352929.jpg
Souliers enfants,15000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3486610_uploaded_image1_1639656374.jpg
Chaussures  en cuir,12000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3495410_uploaded_image1_1640264833.jpg
Baskets Nike enfant,15000.0,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3496189_uploaded_image2_1640319435.jpeg
Pantoufles enfant,4000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3533457_uploaded_image1_1642754956.jpg
Ballerines enfant,7000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3617411_uploaded_image1_1647863237.jpg
Baskets enfant,20000.0,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3958985_uploaded_image1_1668074060.jpg
Sandales africaines enfants,1500.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3778619_uploaded_image1_1657354885.jpg
Chaussures filles,25000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4781990_uploaded_image1_1717637500.jpg
