web_scraper_order,web_scraper_start_url,container_links,type chaussure,prix,adresse,image_lien
1771786716-22,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-hommes-5349774,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786718-23,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/babouches-5349918,Babouches,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349918_uploaded_image1_1748452087.jpg
1771786721-24,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-unisexe-5349939,Chaussures Unisexe,15 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5505619_uploaded_image1_1756849246.jpg
1771786723-25,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-unisexe-5350017,,,,
1771786752-26,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/baskets-nb1906-5350411,,,,
1771786758-27,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/baskets-nb9050-5350412,Baskets NB9050,23 000 CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5350412_uploaded_image1_1748483937.jpg
1771786760-28,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-timberland-berluti-5350414,Chaussures Timberland Berluti,16 000 CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5350414_uploaded_image1_1748484037.jpg
1771786763-29,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5305851,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786766-30,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/tapettes-homme-5351718,Tapettes homme,20 000 CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5351718_uploaded_image2_1748579763.jpeg
1771786770-31,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5307445,,,,
1771786775-32,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5307448,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786782-33,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-en-cuirs-pour-homme-5353808,Chaussures en cuirs pour homme,17 000 CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5353808_uploaded_image1_1748715471.jpg
1771786785-34,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5310593,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786788-35,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5310609,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786791-36,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-nike-5355700,Chaussures  homme,25 000 CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5769513_uploaded_image1_1770814954.jpg
1771786794-37,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5310619,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786797-38,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-nike-5355703,Chaussures  homme,25 000 CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5769513_uploaded_image1_1770814954.jpg
1771786800-39,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5356684,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786804-40,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5357607,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786807-41,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5357608,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786811-42,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-en-cuir-5358106,Chaussures en cuir pour homme,10 000 CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5624803_uploaded_image1_1763314804.jpg
1771786814-43,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-tommy-5358420,Chaussures Tommy,15 000 CFA,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5358420_uploaded_image1_1748953921.jpg
1771786817-44,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-hommes-5358423,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786821-45,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5358670,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786824-46,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-hermes-5359016,Chaussures Hermès,20 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5751239_uploaded_image1_1769862397.jpg
1771786828-47,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5359020,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786832-48,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-en-cuir-5359022,Chaussures homme en  cuir,15 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5505623_uploaded_image1_1756849395.jpg
1771786835-49,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-en-cuir-5359026,Chaussures homme en  cuir,15 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5505623_uploaded_image1_1756849395.jpg
1771786838-50,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/sandales-orthopedique-5313151,Sandale Orthopédique Birkenstock,29 500 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5569336_uploaded_image1_1760194310.jpg
1771786840-51,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/sabot-orthopedique-5313152,Sabot orthopédique,12 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5313152_uploaded_image1_1746464722.jpg
1771786843-52,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5313318,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786845-53,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/baskets-aire-force-one-5359383,Baskets Aire Force One,13 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5361117_uploaded_image1_1749079520.jpg
1771786848-54,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-unisexe-5359386,Chaussures Unisexe,15 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5505619_uploaded_image1_1756849246.jpg
1771786855-55,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/sandales-homme-5360021,Sandales homme,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5360021_uploaded_image1_1749037309.jpg
1771786858-56,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5360111,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786860-57,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5360164,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786863-58,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/babouche-bonnet-5360403,Babouche / bonnet,15 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5360403_uploaded_image1_1749049684.jpg
1771786866-59,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5314898,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786868-60,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5314910,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786871-61,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-wallabess-5314916,Chaussures Wallabess,16 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5314916_uploaded_image1_1746554149.jpg
