type habits,prix,adresse,image_lien
Djialap pour enfant de 4ans jusqua 18ans,6500.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5181431_uploaded_image1_1739304816.jpg
Jalaba  pour enfants,15000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5246903_uploaded_image1_1742748145.jpg
Dialab,15000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5228687_uploaded_image1_1741791237.jpg
Ensemble dialab pour enfant de 3ans jusqua 16ans,7000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5214582_uploaded_image1_1741111696.jpg
Ensemble dialab enfants 3pièces,15000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5214607_uploaded_image1_1741112466.jpg
Dialab enfant 3pièces,12000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5227233_uploaded_image1_1741720597.jpg
Dialab pour enfant de 1ans jusqua 16ans,10000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5227274_uploaded_image1_1741722024.jpg
Dialab 3 pièces  3ans jusqua 16ans,12000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5228280_uploaded_image1_1741779191.jpg
Robe enfant,8500.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5714692_uploaded_image1_1768087870.jpg
Djallaba enfant,8500.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5700235_uploaded_image1_1767387346.jpg
Abaya pour Anfna,10000.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5263587_uploaded_image1_1743688774.jpg
Habillement enfant,4000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5385294_uploaded_image1_1750506744.37.jpeg
Survêtement coton pour enfants,1500.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342624_uploaded_image1_1748034284.jpg
Ensemble pour enfants de 2ans a 12ans,7000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342643_uploaded_image1_1748035562.jpg
Ensemble pour enfants de 2ans a 6ans coton,7000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342650_uploaded_image1_1748035854.jpg
Emsemble pour enfants 3 pièces,8000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344462_uploaded_image1_1748167236.jpg
Polo Lacoste pour enfants,4000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344468_uploaded_image1_1748167535.jpg
Ensemble pour jeune fille,10000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365674_uploaded_image1_1749416491.jpg
Robe nuafna mélange géginer,10000.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5427239_uploaded_image1_1752708596.jpg
Ensemble bas-large,6000.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5478990_uploaded_image1_1755394245.jpg
Ensembles lacost pour garçon,3000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5524048_uploaded_image1_1757787175.jpg
Ensemble dêbadeur enfants,2500.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5524248_uploaded_image1_1757797576.jpg
Lacoste coton pour enfants de 3ans à 16ans,3500.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5549305_uploaded_image1_1759186714.jpg
Robe brodée,6000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5657323_uploaded_image1_1764934741.jpg
Robe lin,6000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5657317_uploaded_image1_1764934579.jpg
3 bavoirs bandana,10000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5664243_uploaded_image1_1765306309.jpg
Pulls et sweat-shirt enfants 4 ans,1500.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5677797_uploaded_image1_1766001882.jpg
Maillot Sénégal enfant,6000.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5708663_uploaded_image1_1767803374.jpg
Diabaté enfant,7500.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5764016_uploaded_image1_1770492074.jpg
Djalabe enfants,7500.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5737163_uploaded_image1_1769170576.jpg
Abaya enfants,7500.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5779837_uploaded_image1_1771412632.jpg
Cemig alagi pour nuafna,7500.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5772434_uploaded_image1_1770944074.jpg
