type habits,prix,adresse,image_lien
Robe,15000.0,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3110386_uploaded_image1_1620737846.jpg
Robes enfants,15000.0,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3758410_uploaded_image1_1656180793.jpg
Robe enfant,20000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3113417_uploaded_image1_1620899489.jpg
Robe enfant,9000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4607426_uploaded_image1_1708642698.jpg
Chemises garçon,7000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3125676_uploaded_image1_1621537910.jpg
Ensemble  pour garçon,4000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3137963_uploaded_image1_1622193150.jpg
Robe  enfant,15000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3147894_uploaded_image1_1622636034.jpg
Robe fillette,7000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3172225_uploaded_image1_1623704262.jpg
Robe pour fillette,12000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3178371_uploaded_image1_1623973004.jpg
T-shirt enfant,1500.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3186107_uploaded_image1_1624377710.jpg
Sous vetement enfant,1000.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg
Boubou enfant,1000.0,"Ziguinchor, Sénégal",https://images.coinafrique.com/thumb_3199201_uploaded_image1_1625064316.jpg
Djellaba enfant,5000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3201236_uploaded_image1_1625141023.jpg
Ensemble short fille,8000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3243381_uploaded_image1_1627145505.jpg
Maillot de bain enfant,5000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3243385_uploaded_image1_1627145773.jpg
Ensemble veste garçon 5 pièces,28000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5010327_uploaded_image1_1729813849.jpg
Robe Iris enfant,15000.0,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5204766_uploaded_image1_1740600489.jpg
Chemises Pimkie,2500.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3303661_uploaded_image1_1630249960.jpg
Robe de prière  enfant,5000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5241328_uploaded_image1_1742452229.jpg
Robes enfants,10000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667155_uploaded_image1_1711816360.jpg
Hijab  enfant,1500.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3319762_uploaded_image1_1630942932.jpg
Maillots enfant,5000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3646687_uploaded_image1_1649538934.jpg
Vêtement enfant,9900.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3550501_uploaded_image1_1643809792.jpg
Tee-shirt enfant,4000.0,"Tambacounda, Sénégal",https://images.coinafrique.com/thumb_3344999_uploaded_image1_1632183344.jpg
Robe princesse,25000.0,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3495993_uploaded_image1_1640295236.jpg
Ensemble garçon,15000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3405987_uploaded_image1_1635327202.jpg
Caleçons coton enfant -  12 pièces,6500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3412103_uploaded_image1_1635684897.jpg
Blouson Poir Pour Enfant,8000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3414761_uploaded_image1_1635795193.jpg
Combinaison surf pour enfant,8000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3420805_uploaded_image1_1636035011.jpg
Slip  enfant,7000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3462374_uploaded_image3_1638371268.jpeg
Robe de cérémonie,25000.0,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3462842_uploaded_image1_1638387220.jpg
Vêtement enfant,12000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3549957_uploaded_image1_1643796504.jpg
Robe fille,5000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3480133_uploaded_image1_1639253211.jpg
Collant enfant,2000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3492922_uploaded_image1_1640098024.jpg
Jeans enfants,6000.0,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3495990_uploaded_image1_1640295017.jpg
Ensemble garçon,13500.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3513877_uploaded_image1_1641564259.jpg
Tenue fillette,8500.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3516300_uploaded_image1_1641719011.jpg
Boxer fille,8000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3516974_uploaded_image1_1641760222.jpg
Robe,25000.0,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3534704_uploaded_image1_1642807674.jpg
Robe enfant,25000.0,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3534701_uploaded_image1_1642807591.jpg
Blousons enfants,15000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5662807_uploaded_image1_1765242466.jpg
Manteau fille,10000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3546701_uploaded_image1_1643659342.jpg
Ensemble enfant coton 100%,12000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_2736363_uploaded_image1_1604448852.jpg
Abaya,15000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3560017_uploaded_image1_1644370671.jpg
Maillot football enfants - Sénégal,8000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3566348_uploaded_image3_1644775694.jpeg
Maillots enfants,10000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5246062_uploaded_image1_1742692008.jpg
Habits enfants,8000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3601827_uploaded_image1_1646873978.jpg
Peignoir personnalisé enfant,12000.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_3563684_uploaded_image1_1644584292.jpg
Vêtements enfants,3000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4686588_uploaded_image1_1712843043.jpg
Maillots enfants sénégal,10000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5054255_uploaded_image2_1732155894.jpeg
Maillot Sénégal enfants,10000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3637250_uploaded_image1_1649076487.jpg
Combinaison enfant,4000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3638113_uploaded_image1_1649106100.jpg
Boubou enfant 3 pièces,15000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3643960_uploaded_image1_1649372669.jpg
Slips fille,5500.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3643614_uploaded_image1_1649354564.jpg
Boubou fille,12000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3651237_uploaded_image1_1649808047.jpg
Ensemble 3 pièces enfant,15000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3654415_uploaded_image1_1649975242.jpg
Robe fille,12000.0,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3659452_uploaded_image1_1650315963.jpg
Robes enfant,5000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3659985_uploaded_image2_1650360548.jpeg
Ensemble short enfant,8000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5364545_uploaded_image1_1749327684.jpg
Djellaba enfant,15000.0,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_3663604_uploaded_image1_1650545798.jpg
Robe enfant,15000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4430601_uploaded_image1_1698283193.jpg
Robe enfant,4000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3688104_uploaded_image1_1652108689.jpg
Pulls enfants,6000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3671743_uploaded_image1_1651068678.jpg
Caleçon enfant,2000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3712737_uploaded_image3_1653571946.jpeg
Costume enfant,28000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5010301_uploaded_image1_1729811616.jpg
Boubou Magnum Gold enfant,15000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3737294_uploaded_image1_1654947755.jpg
Boubou tabaski fil a fil Getzner,8000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3748327_uploaded_image1_1655569010.jpg
Ensemble peignoir pour enfants,10000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3735826_uploaded_image1_1654860349.jpg
Maillots Sénégal enfants,10000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3991237_uploaded_image1_1670029654.jpg
Costume garçon  - 4 pièces,27000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3795696_uploaded_image1_1658520434.jpg
Vêtements enfant,9500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4677506_uploaded_image1_1712318751.jpg
Barboteuse,6000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3874861_uploaded_image1_1662992831.jpg
Ensemble bandeaux chaussettes,1500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3813301_uploaded_image1_1659543149.jpg
Ensemble Robe Turquie,11000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3913424_uploaded_image1_1665364359.jpg
Robes enfant,15000.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4623032_uploaded_image1_1709472242.jpg
Ensembles pull  enfants,4000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3941399_uploaded_image1_1667092572.jpg
Ensemble Robe enfants,28000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3990865_uploaded_image1_1670005692.jpg
Habits enfants,3000.0,"Bambey, Sénégal",https://images.coinafrique.com/thumb_4010206_uploaded_image1_1671121329.jpg
Ensemble velours enfant,7500.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3981018_uploaded_image1_1669456009.jpg
Ensemble enfants,3000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4054351_uploaded_image1_1673991497.jpg
Fliperies enfants,500.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4061027_uploaded_image1_1674419234.jpg
Vetement  enfants,10000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667484_uploaded_image1_1711840999.jpg
Friperie enfants,3000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5693218_uploaded_image1_1766931703.jpg
Friperie peignoir enfants,3000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4072972_uploaded_image1_1675197339.jpg
Greniers enfants,1000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4072974_uploaded_image1_1675197428.jpg
Ensemble coton pour enfants de 3ans 7ans,4000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5549301_uploaded_image1_1759186593.jpg
